name,Postcode,Type,Provider,OrganisationType,Latitude,Longitude
Walmsley Friendship Village Aged Care,3137,Residential,Australian Unity Care Services Pty Ltd,Private Incorporated Body,-37.8056764,145.3098247
Latrobe Valley Village Hostel,3825,Residential,Latrobe Valley Village Inc,Community Based,-38.182163,146.278196
mecwacare O'Mara House,3844,Residential,MECWA,Community Based,-38.20875865,146.5478307
Regis East Malvern,3145,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.87800106,145.0635171
Mitchell House Hostel,3840,Residential,Mitchell House Inc,Community Based,-38.22185513,146.4270779
Benetas Lovell House,3161,Residential,Anglican Aged Care Services Group,Religious,-37.865573,145.023296
Villa Maria Catholic Homes John R Hannah Aged Care Residence,3170,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.93321089,145.1584779
Coates,3478,Residential,Respect Group Limited,Charitable,-36.60894378,143.2478708
Latvian Aged Care Facility,3152,Residential,Latvian Friendly Society Ltd,Community Based,-37.87821014,145.2312511
Benetas Dowell Court,3079,Residential,Anglican Aged Care Services Group,Religious,-37.7718931,145.0528836
Prom Country Aged Care,3960,Residential,Prom Country Aged Care Inc,Community Based,-38.65784925,146.2072756
Griffiths Point Lodge Hostel,3925,Residential,Bass Coast Health,State Government,-38.52575606,145.36927
Glendale Aged Care,3030,Residential,Allity Pty Ltd,Private Incorporated Body,-37.87793428,144.67853
Rosary Home,3038,Residential,Congregation of Dominican Sisters of Malta (VIC),Religious,-37.715408,144.805889
Benetas Corowa Court,3931,Residential,Anglican Aged Care Services Group,Religious,-38.221686,145.032531
Lionsbrae Hostel,3135,Residential,Ringwood Area Lions Aged Care Inc,Community Based,-37.80397279,145.2515357
Cumberland View Aged Care - Whalley Drive,3150,Residential,Arton Retirement Villages Pty Limited,Private Incorporated Body,-37.92274395,145.1986479
Corpus Christi Community,3059,Residential,Corpus Christi Community Greenvale Incorporated,Charitable,-37.637223,144.880831
Elderly Chinese Home,3052,Residential,Elderly Chinese Home Inc,Community Based,-37.7836179,144.9405942
Regis Alawarra Lodge,3130,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.83899343,145.1378696
Regis Milpara Lodge,3130,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.83899343,145.1378696
Royal Freemasons - Elizabeth Gardens Hostel,3125,Residential,Royal Freemasons Ltd,Charitable,-37.85812779,145.0957599
St Basil's Homes for the Aged in Victoria,3060,Residential,St Basil's Homes for the Aged in Victoria,Religious,-37.71485033,144.975611
mecwacare Vincent House,3049,Residential,MECWA,Community Based,-37.67524296,144.896149
Napier Street Aged Care Services,3205,Residential,179 Napier Street Hostel Association Inc,Community Based,-37.83690015,144.9612561
Sacred Heart Community,3182,Residential,Sacred Heart Mission Inc,Religious,-37.86425578,144.979141
Barwo Homestead,3638,Residential,Nathalia and District Hostel for the Aged Association Inc,Community Based,-36.0556472,145.2001096
Westmont Homestead,3691,Residential,Westmont Aged Care Services Limited,Community Based,-36.17209879,146.9342832
Kirkbrae Kilsyth Hostel,3137,Residential,Presbyterian Church of Victoria Trusts Corporation,Religious,-37.809911,145.331096
Benetas St Laurence Court - Kangaroo Flat,3555,Residential,Anglican Aged Care Services Group,Religious,-36.80222216,144.2406808
Opal Salford Park,3152,Residential,DPG Services Pty Ltd,Private Incorporated Body,-37.85522419,145.2259706
Hillside Lodge Hostel,3950,Residential,Gippsland Southern Health Service,State Government,-38.43038489,145.8294399
Kalyna Care,3037,Residential,Ukrainian Elderly People's Home,Community Based,-37.72412823,144.7729736
Abbeyfield House Hostel,3272,Residential,Abbeyfield Society (Mortlake) Inc,Community Based,-38.07922328,142.8108453
Benetas St John's Park,3138,Residential,Anglican Aged Care Services Group,Religious,-37.78874798,145.3151546
MiCare Avondrust Lodge,3201,Residential,MiCare Ltd,Community Based,-38.0889427,145.1816201
Carshalton House Hostel,3555,Residential,Bendigo Health Care Group,State Government,-36.78019509,144.258675
Strzelecki House,3871,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.40179875,146.1544666
BlueCross Livingstone Gardens,3133,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.8549668,145.1802533
Multicultural Aged Care Services Geelong Inc,3215,Residential,Multicultural Aged Care Services Geelong Inc,Community Based,-38.12586399,144.347895
Wintringham Williamstown Hostel,3016,Residential,Wintringham,Charitable,-37.85503408,144.8790724
Arpad Aged Care,3152,Residential,"""Arpad"" Elderly Welfare Society Inc",Community Based,-37.84713,145.228442
Tannoch Brae Senior Living,3219,Residential,Allity Pty Ltd,Private Incorporated Body,-38.18528726,144.3945248
The Bays Aged Care Facility,3915,Residential,The Bays Healthcare Group Inc.,Community Based,-38.303105,145.188653
Outlook Gardens Aged Care,3175,Residential,Association for Christian Senior Citizens Homes Inc,Religious,-37.94013265,145.2112179
Garden View Court Hostel,3377,Residential,East Grampians Health Service,State Government,-37.27726026,142.9300519
Mekong Vietnamese Aged Care,3033,Residential,Indochinese Elderly Refugees Association Victoria Inc,Community Based,-37.7361142,144.8572922
Havilah Hostel,3465,Residential,Havilah Hostel Inc,Community Based,-37.03865075,143.7433931
Jessie Bowe House,3463,Residential,Maldon Hospital,State Government,-36.99396123,144.0650481
Chelsea Lodge Hostel,3241,Residential,Winchelsea Hostel & Nursing Home Society,Community Based,-38.243425,143.9849397
Southern Cross Care Dandenong,3175,Residential,Southern Cross Care (VIC),Religious,-37.990931,145.219926
Sunbury Lions Community Aged Care,3429,Residential,Sunbury Community Health Centre,Community Based,-37.58669405,144.7292423
MiCare Overbeek Lodge,3137,Residential,MiCare Ltd,Community Based,-37.8083999,145.3270589
Polish Retirement Home,3153,Residential,Australian-Polish Benevolent Association of Victoria Inc,Community Based,-37.85012885,145.2735059
Riverside Hostel,3549,Residential,Robinvale District Health Services,State Government,-34.58255136,142.7743805
Martin Luther Homes,3154,Residential,Martin Luther Homes Boronia Inc,Religious,-37.860569,145.303842
Trescowthick House Hostel,3409,Residential,West Wimmera Health Service,State Government,-36.74525255,141.937601
Samarinda Lodge,3147,Residential,Samarinda Ashburton Aged Services Inc,Community Based,-37.864373,145.085815
Estia Health Knoxfield,3180,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.883195,145.257338
Sorrento Lodge,3943,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-38.34262,144.733788
Isomer Retirement Home,3156,Residential,Islamic Society of Melbourne Eastern Regions Inc,Religious,-37.92861241,145.2711508
Parkland House Hostel,3379,Residential,East Grampians Health Service,State Government,-37.54632915,142.7425491
Willowbrae - Melton,3337,Residential,Norsan Pty Ltd,Private Incorporated Body,-37.67505893,144.5850215
Laurina Lodge Hostel,3858,Residential,Heyfield Hospital Incorporated,Community Based,-37.97603063,146.7844543
Yackandandah Health Residential Aged Care,3749,Residential,Yackandandah Bush Nursing Hospital Inc,Religious/Charitable,-36.31003655,146.8454998
Arcare Portarlington,3223,Residential,Arcare Pty Ltd,Private Incorporated Body,-38.11945398,144.6561309
Hillview Bunyip Aged Care Inc,3815,Residential,Hillview Bunyip Aged Care Inc,Community Based,-38.09627996,145.7250947
Oaklea Hall Hostel,3166,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-37.899467,145.085326
mecwacare Rositano House,3121,Residential,MECWA,Community Based,-37.820196,144.999117
Monda Lodge Hostel,3777,Residential,Eastern Health,State Government,-37.6452079,145.5281981
Fairway Hostel,3191,Residential,Sandringham Aged Care Association Inc,Community Based,-37.95994084,145.0182804
Southern Cross Care Templestowe,3107,Residential,Southern Cross Care (VIC),Religious,-37.760524,145.122145
Green Gables Private Hostel,3076,Residential,Wickro Pty Ltd,Private Incorporated Body,-37.65049793,145.0314327
Cobden District Health Services,3266,Residential,Cobden District Health Services Inc,Community Based,-38.332235,143.0763
Clarendon Grange Hostel,3152,Residential,Wickro Pty Ltd,Private Incorporated Body,-37.846116,145.246622
Queen Elizabeth Village Hostel,3355,Residential,Ballarat Health Services,State Government,-37.53624453,143.8230302
Doutta Galla Grantham Green Aged Care Facility,3021,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.753083,144.820779
Villa Maria Catholic Homes Justin Villa Aged Care Residence,3103,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.80538102,145.095122
Arcare Cheltenham,3192,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.967784,145.075837
Lifeview Argyle Court,3196,Residential,Chevron Corporation Pty Ltd,Private Incorporated Body,-38.052612,145.127942
Chomley House Hostel,3181,Residential,Milford Hall Pty Ltd,Private Incorporated Body,-37.8548935,145.0058698
Kingston Gardens Aged Care,3172,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.9758048,145.1453607
Mingarra Hostel,3136,Residential,Aveo Retirement Homes Limited,Private Incorporated Body,-37.79940859,145.2704331
BlueCross Autumdale,3192,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.971397,145.075935
Greenwood Manor,3172,Residential,Greenwood Manor Pty Ltd,Private Incorporated Body,-37.98997785,145.138409
Regis Rosebud,3940,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-38.370478,144.883027
Alphington Aged Care,3078,Residential,Mali Nominees Pty Ltd,Private Incorporated Body,-37.77938975,145.0357802
Sutherland Lodge,3875,Residential,Bairnsdale Regional Health Service,State Government,-37.8319287,147.6061691
The Lakes Hostel,3318,Residential,Edenhope & District Memorial Hospital,State Government,-37.03509852,141.2955397
Estia Health Bentleigh,3204,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.921903,145.026874
Willowbrae-Templestowe Hostel,3106,Residential,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,-37.752192,145.133888
Arcare Reservoir,3073,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.72541292,145.0299489
Royal Freemasons - Monash Gardens Hostel,3170,Residential,Royal Freemasons Ltd,Charitable,-37.91906083,145.1654792
Elouera Aged Care Centre,3228,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.32442835,144.3155788
Allan W Lockwood Special Care Hostel,3409,Residential,West Wimmera Health Service,State Government,-36.74525255,141.937601
Cheltenham Manor,3192,Residential,Cheltenham Manor Pty Ltd,Private Incorporated Body,-37.96425534,145.0594984
Liscombe House,3088,Residential,The Old Colonists' Association of Victoria,Charitable,-37.689009,145.132578
Lyrebird Village for the Aged,3818,Residential,Lyrebird Villages for the Aged Inc,Community Based,-38.13468609,145.8646764
Hailey House Hostel,3350,Residential,Ballarat Health Services,State Government,-37.53649126,143.8578023
Waranga Aged Care Hostel,3612,Residential,Goulburn Valley Health,State Government,-36.58714425,145.0164071
Avoca Hostel,3467,Residential,Maryborough District Health Service,State Government,-37.09241886,143.4685646
Ballan Hostel,3342,Residential,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,-37.5999532,144.2217651
Coptic Hostel,3805,Residential,Coptic Village Hostel Inc,Religious,-38.005033,145.287059
Southern Cross Care Shepparton,3630,Residential,Southern Cross Care (VIC),Religious,-36.36169129,145.4056538
Bolga Court Hostel,3700,Residential,Tallangatta Health Service,State Government,-36.21282346,147.1818312
James Thomas Court,3356,Residential,Ballarat Health Services,State Government,-37.6048763,143.8357074
Benetas Hazelwood House,3842,Residential,Anglican Aged Care Services Group,Religious,-38.31868308,146.4238182
R. M. Begg Kyneton Aged Care,3444,Residential,R. M. Begg Kyneton Aged Care Inc,Community Based,-37.251729,144.461164
Warrina Hostel,3730,Residential,Yarrawonga Health,State Government,-36.01087422,146.0057183
Princes Court Homes Hostel,3500,Residential,Princes Court Homes Inc,Community Based,-34.19224583,142.1489682
Warramunda Village Hostel,3620,Residential,Warramunda Village Inc,Community Based,-36.31692,145.041876
Bindaree Retirement Centre,3722,Residential,Mansfield District Hospital,State Government,-37.0495796,146.0881979
Cooinda Village Inc,3672,Residential,Cooinda Village Inc,Community Based,-36.55644462,145.9976916
Eventide Lutheran Homes,3300,Residential,Lutheran Church of Australia Victorian District,Religious,-37.74404141,142.0407113
Southern Cross Care Lynbrook,3975,Residential,Southern Cross Care (VIC),Religious,-38.064592,145.261666
Numurkah Pioneers Memorial Lodge,3636,Residential,Numurkah District Health Service,State Government,-36.09903753,145.4451363
Johnson-Goodwin Memorial Homes,3480,Residential,Johnson-Goodwin Memorial Homes,Community Based,-36.37080039,142.9774862
St John's Retirement Village Hostel,3677,Residential,Trustees of the Anglican Diocese of Wangaratta,Religious,-36.34604148,146.2977312
Twin Parks Aged Care Centre,3073,Residential,Coburg Aged Care Pty Ltd,Private Incorporated Body,-37.73216616,145.0369909
Boort District Health Low Care,3537,Residential,Boort District Health,State Government,-36.11516886,143.7271956
mecwacare May Noonan Centre,3264,Residential,MECWA,Community Based,-38.24968576,142.918369
Baptcare - Northaven Community,3579,Residential,Baptcare Ltd,Religious,-35.7261048,143.9157075
Moyola Lodge Hostel,3616,Residential,Moyola Aged Care Incorporated,Community Based,-36.438385,145.224315
Lumeah Lodge Hostel,3460,Residential,Hepburn Health Service,State Government,-37.337496,144.145251
Willandra Hostel,3095,Residential,St Vincent's Care Services Ltd.,Religious,-37.71218754,145.145762
Sumner House,3065,Residential,Brotherhood of St Laurence,Religious,-37.80439,144.976476
Sambell Lodge,3068,Residential,Brotherhood of St Laurence,Religious,-37.79220967,144.9910309
John Curtin Aged Care,3363,Residential,John Curtin Aged Care Inc,Community Based,-37.41924344,143.8930221
Kellock Lodge,3714,Residential,Trustees of the Anglican Diocese of Wangaratta,Religious,-37.18556783,145.711934
Pyramid Hill Aged Care Home,3575,Residential,Respect Group Limited,Charitable,-36.056014,144.109283
R M McHale Hostel,3621,Residential,Tongala & District Memorial Aged Care Service Inc,Community Based,-36.247725,144.95768
Wintringham Hostel - Port Melbourne,3207,Residential,Wintringham,Charitable,-37.8378555,144.9325196
Wintringham McLean Lodge Hostel,3031,Residential,Wintringham,Charitable,-37.783346,144.936124
Rochester and District Hostel,3561,Residential,Rochester & Elmore District Health Service,State Government,-36.365814,144.697936
Edith Bendall Lodge,3044,Residential,Edith Bendall Lodge,Community Based,-37.72907781,144.9256249
Villa Maria Catholic Homes St Bernadette's Aged Care Residence,3020,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.75946801,144.8254531
Lakeview Lodge Hostel,3608,Residential,Nagambie HealthCare Incorporated,Community Based,-36.780884,145.14981
Rainbow Bush Nursing Hospital Hostel,3424,Residential,West Wimmera Health Service,State Government,-35.90364647,141.9949347
Opal Gillin Park,3280,Residential,DPG Services Pty Ltd,Private Incorporated Body,-38.386819,142.530909
Estia Health Leopold,3224,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-38.19555908,144.4674709
St Paul's Hostel for the Elderly,3071,Residential,Antonine Sisters Aged Care Services Ltd,Religious,-37.75409211,144.9832619
Trentham Hostel,3458,Residential,Hepburn Health Service,State Government,-37.38673635,144.3275985
Skipton Hostel,3361,Residential,Beaufort & Skipton Health Service,State Government,-37.68462815,143.3666776
Beaufort Hostel,3373,Residential,Beaufort & Skipton Health Service,State Government,-37.43166284,143.381952
McLellan House Hostel,3047,Residential,Melbourne Health,State Government,-37.68581993,144.9126564
BlueCross Clevedon Terrace,3084,Residential,Third Age Australia Pty Ltd,Private Incorporated Body,-37.757343,145.054151
Vasey RSL Care Ivanhoe,3079,Residential,Vasey RSL Care Ltd,Community Based,-37.7522358,145.0503156
Vonlea Manor,3214,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.094394,144.345463
Twin Parks Private Hostel,3073,Residential,Twin Parks Pty Ltd,Private Incorporated Body,-37.732101,145.036395
Ottrey Lodge,3644,Residential,Ottrey Homes - Cobram And District Retirement Village Inc,Community Based,-35.9197723,145.6600542
The Ashley,3073,Residential,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,-37.7179495,145.0018975
Heathcote Health Low Care Service,3523,Residential,Heathcote Health,State Government,-36.92560414,144.7097048
Eventide Homes (Stawell) Inc,3380,Residential,Eventide Homes (Stawell) Inc,Charitable,-37.06356071,142.791826
Lyndoch Hostel,3280,Residential,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Tarcoola Residential Aged Care Service,3630,Residential,Shepparton Retirement Villages Inc,Charitable,-36.36389362,145.3916584
mecwacare Elstoft House,3215,Residential,MECWA,Community Based,-38.12004996,144.3234831
Uniting AgeWell Kingsville,3012,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.807111,144.87764
The Sydney-Lynne Quayle & Fitzroy Lodge Hostels,3304,Residential,Heywood Rural Health,State Government,-38.136946,141.6247213
Moyne Health Services-Moyneyana House,3284,Residential,Moyne Health Services,State Government,-38.38347183,142.2260879
Uniting AgeWell Kalkee Murray,3216,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-38.18056681,144.3486428
Holloway Aged Care Services,3033,Residential,Keilor Hostel for the Aged Association Inc,Community Based,-37.74693353,144.8620493
Rodney Park Residential Aged Care Service,3629,Residential,Shepparton Retirement Villages Inc,Charitable,-36.38633715,145.3517924
Merindah Lodge Aged Care Facility,3260,Residential,South West Healthcare,State Government,-38.23800495,143.1391198
Southern Cross Care Springvale,3172,Residential,Southern Cross Care (VIC),Religious,-37.969371,145.148433
Allawah Special Care Hostel,3730,Residential,Yarrawonga Health,State Government,-36.01239768,146.006146
Kaniva Hostel,3419,Residential,West Wimmera Health Service,State Government,-36.38147687,141.2457431
Assisi Centre Aged Care,3084,Residential,Assisi Centre Limited,Religious,-37.74103746,145.073836
Inglewood & Districts Health Service Hostel,3517,Residential,Inglewood & Districts Health Service,State Government,-36.57258515,143.873394
Doutta Galla Lynch's Bridge Aged Care Facility,3031,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.789883,144.926735
Eureka Village Hostel,3350,Residential,Ballarat Health Services,State Government,-37.55987493,143.8896297
Vasey RSL Care Bundoora,3083,Residential,Vasey RSL Care Ltd,Community Based,-37.7028324,145.0546767
Allambee Nursing Home Kingston Centre,3192,Residential,Monash Health,State Government,-37.96237044,145.0750839
Royal Freemasons - Coppin Centre,3004,Residential,Royal Freemasons Ltd,Charitable,-37.84768485,144.9844643
A. G. Eastwood Hostel,3192,Residential,Monash Health,State Government,-37.96237044,145.0750839
Mooraleigh Hostel,3165,Residential,Monash Health,State Government,-37.921796,145.062735
Victorian Elderly Chinese Hostel,3032,Residential,Victorian Elderly Chinese Welfare Society Inc,Community Based,-37.77442634,144.9060019
Yarriambiack Lodge Hostel,3393,Residential,Rural Northwest Health,State Government,-36.25353,142.377585
Doutta Galla Woornack Aged Care Facility,3020,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.78749453,144.8232716
Kurrajong Lodge,3400,Residential,Wimmera Health Care Group,State Government,-36.71420238,142.2071499
Doutta Galla Yarraville Village Aged Care Facility,3013,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.813522,144.892978
Andrews House,3824,Residential,West Gippsland Healthcare Group,State Government,-38.2137532,146.1509888
Bupa Windsor,3181,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.85429375,144.9887003
Harmony Village Inc,3630,Residential,Doutta Galla Aged Services Ltd,Charitable,-36.38914601,145.4266931
Grange Residential Care Services,3300,Residential,Western District Health Service,State Government,-37.74611733,142.0184299
Percy Baxter Lodges,3215,Residential,Barwon Health,State Government,-38.12023,144.334154
Omeo District Health,3898,Residential,Omeo District Health,State Government,-37.0981436,147.5964817
Homewood Residential Aged Care,3803,Residential,Bridgeast Pty Ltd,Private Incorporated Body,-38.003775,145.275707
SCC Nixon Home,3195,Residential,Southern Cross Care (VIC),Religious,-38.00691881,145.0923518
Elly Kay,3195,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.9967773,145.0952548
Nyah District Aged Care Service (Jacaranda Lodge),3595,Residential,Swan Hill District Health,State Government,-35.18593164,143.3574405
Castlemaine Health,3450,Residential,Castlemaine Health,State Government,-37.05543693,144.2123036
Waranga Nursing Home,3612,Residential,Goulburn Valley Health,State Government,-36.5877363,145.0080459
Rochester Nursing Home Annexe,3561,Residential,Rochester & Elmore District Health Service,State Government,-36.365814,144.697936
Bairnsdale Regional Health Service,3875,Residential,Bairnsdale Regional Health Service,State Government,-37.83277475,147.6060035
McKellar Centre,3215,Residential,Barwon Health,State Government,-38.12023,144.334154
Banawah,3638,Residential,Nathalia District Hospital,State Government,-36.0572364,145.1975729
